0002023e6f,nerodia-erythrogaster
0011e3ef79,pantherophis-vulpinus
0019527c7a,thamnophis-sirtalis
001bed8b51,pantherophis-obsoletus
0029db90b6,agkistrodon-contortrix
002e7d41d2,thamnophis-sirtalis
003a90741a,crotalus-atrox
003c0c56b6,lampropeltis-triangulum
0042ddf627,crotalus-horridus
0042eb2161,crotalus-ruber
00512eb201,heterodon-platirhinos
005b5bfa97,canerodia-sipedon
005c395fce,thamnophis-elegans
00701a84e8,thamnophis-marcianus
0077aed4ab,thamnophis-sirtalis
007d968ff7,crotalus-viridis
008305e362,pantherophis-vulpinus
0096e8461a,nerodia-fasciata
0097898c00,thamnophis-elegans
0099354c8f,haldea-striatula
00a6c209eb,storeria-dekayi
00b9db8949,crotalus-atrox
00bead10d8,agkistrodon-piscivorus
00d404024c,crotalus-atrox
00d5b61249,thamnophis-sirtalis
00de37e529,thamnophis-elegans
00ec650085,nerodia-rhombifer
00fbf9d6bf,storeria-occipitomaculata
00fce37623,thamnophis-radix
0102a8fcce,heterodon-platirhinos
0118c57cb0,thamnophis-sirtalis
011bbdc2fe,coluber-constrictor
0124230003,natrix-natrix
0134d1401c,storeria-dekayi
01367f6bb0,pantherophis-obsoletus
014cfd68fb,storeria-dekayi
01679e7645,agkistrodon-piscivorus
016c633290,diadophis-punctatus
018408775d,coluber-constrictor
0184f7ffe8,haldea-striatula
0188066db2,storeria-dekayi
01896f1ea3,crotalus-ruber
018a59f85b,crotalus-viridis
0194af537c,thamnophis-sirtalis
019959fe2c,nerodia-erythrogaster
019ba70d8b,crotalus-atrox
01adab556a,agkistrodon-contortrix
01ae356944,crotalus-atrox
01cebc9fd0,crotalus-atrox
01d51c0b54,storeria-dekayi
01fc0aab16,masticophis-flagellum
020bfe82c8,thamnophis-sirtalis
02298c1b8a,pantherophis-spiloides
0256abd1da,crotalus-atrox
0264aba1f4,heterodon-platirhinos
02676f67c0,rhinocheilus-lecontei
0277feb9a4,lampropeltis-triangulum
028a0a2547,storeria-dekayi
0295c5b6f5,thamnophis-sirtalis
029abce024,thamnophis-sirtalis
02a29cd6e4,thamnophis-sirtalis
02ac8fdf92,haldea-striatula
02aecbdc35,lampropeltis-californiae
02af0a2f7e,pituophis-catenifer
02b089716c,thamnophis-sirtalis
02b9915d94,crotalus-horridus
02bbf5abcc,storeria-dekayi
02d33d6699,nerodia-fasciata
02d4405ae1,thamnophis-radix
02d48f440c,storeria-occipitomaculata
02d5ad553a,crotalus-atrox
02e0baee53,pituophis-catenifer
02ef52a31a,storeria-dekayi
02ef6cce97,pituophis-catenifer
02fed85d42,opheodrys-aestivus
03048ce3cf,pantherophis-spiloides
030747b0f4,pantherophis-guttatus
031744b212,nerodia-erythrogaster
031df20c29,crotalus-atrox
03395b86b9,rhinocheilus-lecontei
03400b79d2,agkistrodon-contortrix
034131c114,agkistrodon-piscivorus
0364c669a3,storeria-occipitomaculata
0365e19251,thamnophis-sirtalis
036ca2614e,pantherophis-obsoletus
037d21ed93,pituophis-catenifer
038d7e1661,pantherophis-alleghaniensis
038f77798f,pantherophis-guttatus
0393357162,agkistrodon-piscivorus
03ace8ef8b,thamnophis-sirtalis
03bd9b3619,crotalus-horridus
0410c510b7,pantherophis-alleghaniensis
041c33b57c,thamnophis-sirtalis
