image_id,breed
7ede553357,thamnophis-marcianus
3500b219e4,nerodia-fasciata
d43a78d6d9,pantherophis-guttatus
1f36f26994,lampropeltis-californiae
8cb85fc58e,natrix-natrix
7176bcfe9a,pantherophis-spiloides
27f2d0f582,pituophis-catenifer
43eebba928,thamnophis-marcianus
180a56f143,thamnophis-marcianus
07fd20e8bd,pantherophis-obsoletus
d6145eb8ef,pantherophis-emoryi
43cf88006f,natrix-natrix
545094975f,nerodia-sipedon
de232d35ce,coluber-constrictor
f49f11daf4,lampropeltis-triangulum
be70c24805,crotalus-viridis
8a68c61789,thamnophis-radix
e4a0afbde5,thamnophis-proximus
5d046e4a57,pituophis-catenifer
9450d432f1,nerodia-rhombifer
24ae6b28c9,crotalus-ruber
bbbcf461fd,opheodrys-aestivus
25f864a129,rhinocheilus-lecontei
9d63e29dab,pituophis-catenifer
560a7820ef,lampropeltis-californiae
261a672081,thamnophis-radix
e08cecfcc8,agkistrodon-contortrix
dcbaefa9de,thamnophis-elegans
4757eec719,thamnophis-proximus
7a5772b7df,nerodia-fasciata
756a3734d1,pituophis-catenifer
bcb51ed4fd,pantherophis-spiloides
b28a9dbd17,lampropeltis-californiae
84496bd65b,coluber-constrictor
97254f0a1e,pituophis-catenifer
738e860bf3,thamnophis-elegans
5b04af2d08,storeria-dekayi
df1007a11e,crotalus-scutulatus
71e4a3726c,natrix-natrix
9ec71badf5,coluber-constrictor
9aaf30ca4e,thamnophis-proximus
502dbd30e8,masticophis-flagellum
6a0948343e,diadophis-punctatus
a9c94931b4,crotalus-atrox
94f8b871bc,pantherophis-obsoletus
65be04e1a7,pantherophis-obsoletus
553b5be83f,pantherophis-emoryi
f156e4b9ad,lampropeltis-triangulum
c195a35480,nerodia-erythrogaster
ba36d77d65,storeria-dekayi
ac60cb4c64,opheodrys-aestivus
e99babb9da,pantherophis-emoryi
3f79415b22,pituophis-catenifer
07a7f4b8a2,heterodon-platirhinos
8713b35996,pantherophis-guttatus
