image_id,breed
7ede553357,thamnophis-sirtalis
3500b219e4,nerodia-sipedon
d43a78d6d9,nerodia-rhombifer
1f36f26994,nerodia-sipedon
8cb85fc58e,thamnophis-proximus
7176bcfe9a,agkistrodon-contortrix
27f2d0f582,crotalus-atrox
43eebba928,crotalus-viridis
180a56f143,nerodia-sipedon
07fd20e8bd,crotalus-horridus
d6145eb8ef,pituophis-catenifer
43cf88006f,agkistrodon-contortrix
545094975f,masticophis-flagellum
de232d35ce,masticophis-flagellum
f49f11daf4,thamnophis-proximus
be70c24805,thamnophis-elegans
8a68c61789,thamnophis-marcianus
e4a0afbde5,thamnophis-radix
5d046e4a57,crotalus-horridus
9450d432f1,opheodrys-aestivus
24ae6b28c9,pituophis-catenifer
bbbcf461fd,pantherophis-alleghaniensis
25f864a129,pituophis-catenifer
9d63e29dab,thamnophis-elegans
560a7820ef,pituophis-catenifer
261a672081,nerodia-erythrogaster
e08cecfcc8,nerodia-erythrogaster
dcbaefa9de,storeria-occipitomaculata
4757eec719,storeria-occipitomaculata
7a5772b7df,masticophis-flagellum
756a3734d1,nerodia-rhombifer
bcb51ed4fd,opheodrys-aestivus
b28a9dbd17,agkistrodon-contortrix
84496bd65b,lampropeltis-californiae
97254f0a1e,thamnophis-elegans
738e860bf3,lampropeltis-triangulum
5b04af2d08,pantherophis-guttatus
df1007a11e,thamnophis-sirtalis
71e4a3726c,crotalus-scutulatus
9ec71badf5,natrix-natrix
9aaf30ca4e,diadophis-punctatus
502dbd30e8,storeria-dekayi
6a0948343e,pantherophis-vulpinus
a9c94931b4,nerodia-erythrogaster
94f8b871bc,thamnophis-marcianus
65be04e1a7,pantherophis-spiloides
553b5be83f,thamnophis-elegans
f156e4b9ad,lampropeltis-triangulum
c195a35480,thamnophis-marcianus
ba36d77d65,haldea-striatula
ac60cb4c64,crotalus-scutulatus
e99babb9da,crotalus-viridis
3f79415b22,crotalus-scutulatus
07a7f4b8a2,heterodon-platirhinos
8713b35996,lampropeltis-californiae
8161aa3270,natrix-natrix
c084141ebb,nerodia-erythrogaster
3f264dfa93,thamnophis-proximus
ac29145967,storeria-dekayi
14cc5c0b07,pantherophis-spiloides
0d53f3592b,crotalus-ruber
339702c73e,pituophis-catenifer
d9282cfc2f,pantherophis-alleghaniensis
7cbb3598a5,heterodon-platirhinos
7d23dd1a25,pantherophis-obsoletus
302ae16a4f,nerodia-sipedon
665ce5599e,thamnophis-marcianus
7fe9ccee38,crotalus-horridus
b4ee296fbe,thamnophis-sirtalis
463302e361,lampropeltis-triangulum
a18b060715,thamnophis-sirtalis
72b767e027,pantherophis-guttatus
28c9bd4b10,haldea-striatula
a8cf67b3cd,natrix-natrix
dc0bd440c3,thamnophis-sirtalis
1b558cc89f,nerodia-sipedon
23a5181788,opheodrys-aestivus
17e5f4b5bf,thamnophis-marcianus
45708c6f17,crotalus-ruber
90e93122c1,crotalus-ruber
9aac958618,rhinocheilus-lecontei
23f9ca3329,pantherophis-emoryi
3702f63d72,pantherophis-emoryi
142b516abc,rhinocheilus-lecontei
db55095044,masticophis-flagellum
2532449658,natrix-natrix
521ce40402,natrix-natrix
5bdb8079ed,lampropeltis-californiae
2b88eaac56,crotalus-atrox
f11e311c90,agkistrodon-piscivorus
75b79378c3,opheodrys-aestivus
8f457bca60,coluber-constrictor
4aae3ed36b,heterodon-platirhinos
7e85692fa2,nerodia-rhombifer
8557e64d0e,lampropeltis-californiae
f590310834,lampropeltis-californiae
6ce6de9def,pantherophis-spiloides
5e13f84aae,storeria-dekayi
3f595dc653,coluber-constrictor
28fc7c65cc,lampropeltis-californiae
2e6627723a,lampropeltis-triangulum
759223778f,heterodon-platirhinos
68e08979eb,coluber-constrictor
b51b666b0a,crotalus-horridus
1134c2556d,lampropeltis-californiae
e10bcc9899,pantherophis-spiloides
4d84d06252,agkistrodon-contortrix
71792ec7f9,agkistrodon-piscivorus
87fff43cf4,thamnophis-elegans
d0d91b6a16,crotalus-scutulatus
b1606f2410,thamnophis-proximus
f9a3564f88,pantherophis-spiloides
8bdccf2baf,natrix-natrix
abbfa54027,natrix-natrix
ca469b7a27,natrix-natrix
95a51a0fcd,opheodrys-aestivus
8ef78ef2d3,opheodrys-aestivus
e21af6d4b9,rhinocheilus-lecontei
221b1ee2f1,pituophis-catenifer
b2c3d5d9fb,lampropeltis-triangulum
526c9eac74,thamnophis-radix
a38e41fd76,crotalus-atrox
b2ba21f052,pantherophis-spiloides
3b9b67ba03,nerodia-rhombifer
327b772827,pantherophis-guttatus
2afdb4999f,thamnophis-marcianus
0cbf1992d0,agkistrodon-contortrix
c822ae5d01,pantherophis-alleghaniensis
5405370c87,storeria-dekayi
092388daba,heterodon-platirhinos
99a3b654d0,thamnophis-proximus
e0f8e741d4,coluber-constrictor
5d9cf27241,lampropeltis-triangulum
632bed91e6,pantherophis-emoryi
83d7c726d0,pituophis-catenifer
2555c7e7ce,nerodia-sipedon
2b9180fb4f,opheodrys-aestivus
e211c36384,crotalus-viridis
06b96eed56,crotalus-horridus
d8fe032fe4,pantherophis-spiloides
366c0f8d42,nerodia-fasciata
be80579760,crotalus-ruber
a4ff6226a3,thamnophis-sirtalis
53da6f2a06,lampropeltis-triangulum
509628b6d3,lampropeltis-triangulum
75206b0c2d,agkistrodon-piscivorus
c3e988cbe7,pantherophis-guttatus
bf3224d5bb,nerodia-sipedon
2d45d24990,opheodrys-aestivus
217a85c6a0,thamnophis-elegans
f910b4dafd,pantherophis-emoryi
dbc89aa6fc,crotalus-atrox
